time,voltage,
98.159998655E-3,3.87999988,
98.200000823E-3,3.89999986,
98.239995539E-3,3.89999986,
98.279997706E-3,3.87999988,
98.319999874E-3,3.89999986,
98.360002041E-3,3.89999986,
98.399996758E-3,3.89999986,
98.439998925E-3,3.87999988,
98.480001092E-3,3.87999988,
98.519995809E-3,3.89999986,
98.559997976E-3,3.89999986,
98.600000143E-3,3.89999986,
98.640002310E-3,3.89999986,
98.679997027E-3,3.89999986,
98.719999194E-3,3.89999986,
98.760001361E-3,3.89999986,
98.799996078E-3,3.89999986,
98.839998245E-3,3.89999986,
98.880000412E-3,3.87999988,
98.919995129E-3,3.87999988,
98.959997296E-3,3.89999986,
98.999999464E-3,3.89999986,
99.040001631E-3,3.89999986,
99.079996347E-3,3.91999984,
99.119998515E-3,3.91999984,
99.160000682E-3,3.89999986,
99.199995399E-3,3.91999984,
99.239997566E-3,3.89999986,
99.279999733E-3,3.87999988,
99.320001900E-3,3.89999986,
99.359996617E-3,3.91999984,
99.399998784E-3,3.89999986,
99.440000951E-3,3.91999984,
99.479995668E-3,3.87999988,
99.519997835E-3,3.89999986,
99.560000002E-3,3.89999986,
99.600002170E-3,3.91999984,
99.639996886E-3,3.89999986,
99.679999053E-3,3.91999984,
99.720001221E-3,3.89999986,
99.759995937E-3,3.87999988,
99.799998105E-3,3.89999986,
99.840000272E-3,3.89999986,
99.880002439E-3,3.89999986,
99.919997156E-3,3.89999986,
99.959999323E-3,3.89999986,
100.0000015E-3,3.89999986,
100.0399962E-3,3.89999986,
100.0799984E-3,3.89999986,
100.1200005E-3,3.87999988,
100.1599953E-3,3.89999986,
100.1999974E-3,3.89999986,
100.2399996E-3,3.87999988,
100.2800018E-3,3.87999988,
100.3199965E-3,3.85999990,
100.3599986E-3,3.85999990,
100.4000008E-3,3.85999990,
100.4399955E-3,3.83999991,
100.4799977E-3,3.83999991,
100.5199999E-3,3.83999991,
100.5600020E-3,3.83999991,
100.5999967E-3,3.81999993,
100.6399989E-3,3.79999995,
100.6800011E-3,3.81999993,
100.7199958E-3,3.77999997,
100.7599980E-3,3.77999997,
100.8000001E-3,3.75999999,
100.8400023E-3,3.75999999,
100.8799970E-3,3.75999999,
100.9199992E-3,3.74000001,
100.9600013E-3,3.72000003,
100.9999961E-3,3.67999983,
101.0399982E-3,3.67999983,
101.0800004E-3,3.65999985,
101.1199951E-3,3.61999989,
101.1599973E-3,3.61999989,
101.1999995E-3,3.59999990,
101.2400016E-3,3.55999994,
101.2799963E-3,3.53999996,
101.3199985E-3,3.53999996,
101.3600007E-3,3.51999998,
101.3999954E-3,3.46000004,
101.4399976E-3,3.46000004,
101.4799997E-3,3.43999982,
101.5200019E-3,3.39999986,
101.5599966E-3,3.37999988,
101.5999988E-3,3.35999990,
101.6400009E-3,3.33999991,
101.6799957E-3,3.29999995,
101.7199978E-3,3.27999997,
101.7600000E-3,3.25999999,
101.8000022E-3,3.24000001,
101.8399969E-3,3.19999981,
101.8799990E-3,3.17999983,
101.9200012E-3,3.13999987,
101.9599959E-3,3.15999985,
101.9999981E-3,3.11999989,
102.0400003E-3,3.09999990,
102.0800024E-3,3.05999994,
102.1199971E-3,3.03999996,
102.1599993E-3,3.03999996,
102.2000015E-3,3.00000000,
102.2399962E-3,3.00000000,
102.2799984E-3,2.98000002,
102.3200005E-3,2.93999982,
102.3599952E-3,2.93999982,
102.3999974E-3,2.93999982,
102.4399996E-3,2.91999984,
102.4800017E-3,2.89999986,
102.5199965E-3,2.89999986,
102.5599986E-3,2.89999986,
102.6000008E-3,2.87999988,
102.6399955E-3,2.89999986,
102.6799977E-3,2.85999990,
102.7199998E-3,2.87999988,
102.7600020E-3,2.87999988,
102.7999967E-3,2.87999988,
102.8399989E-3,2.87999988,
102.8800011E-3,2.87999988,
102.9199958E-3,2.85999990,
102.9599980E-3,2.87999988,
103.0000001E-3,2.89999986,
103.0400023E-3,2.89999986,
103.0799970E-3,2.89999986,
103.1199992E-3,2.89999986,
103.1600013E-3,2.93999982,
103.1999961E-3,2.93999982,
103.2399982E-3,2.93999982,
103.2800004E-3,2.98000002,
103.3199951E-3,2.98000002,
103.3599973E-3,3.00000000,
103.3999994E-3,3.01999998,
103.4400016E-3,3.01999998,
103.4799963E-3,3.03999996,
103.5199985E-3,3.07999992,
103.5600007E-3,3.11999989,
103.5999954E-3,3.11999989,
103.6399975E-3,3.13999987,
103.6799997E-3,3.13999987,
103.7200019E-3,3.15999985,
103.7599966E-3,3.22000003,
103.7999988E-3,3.22000003,
103.8400009E-3,3.25999999,
103.8799956E-3,3.25999999,
103.9199978E-3,3.29999995,
103.9600000E-3,3.29999995,
104.0000021E-3,3.33999991,
104.0399969E-3,3.37999988,
104.0799990E-3,3.37999988,
104.1200012E-3,3.43999982,
104.1599959E-3,3.43999982,
104.1999981E-3,3.48000002,
104.2400002E-3,3.51999998,
104.2799950E-3,3.51999998,
104.3199971E-3,3.53999996,
104.3599993E-3,3.57999992,
104.4000015E-3,3.57999992,
104.4399962E-3,3.59999990,
104.4799984E-3,3.63999987,
104.5200005E-3,3.65999985,
104.5599952E-3,3.67999983,
104.5999974E-3,3.69999981,
104.6399996E-3,3.69999981,
104.6800017E-3,3.74000001,
104.7199965E-3,3.74000001,
104.7599986E-3,3.77999997,
104.8000008E-3,3.77999997,
104.8399955E-3,3.79999995,
104.8799977E-3,3.81999993,
104.9199998E-3,3.81999993,
104.9600020E-3,3.83999991,
